feature,Description
,Withheld from income
,Brokerage
,Debtor
,Dealer
,Merit Merge
bitcurrent__income,Current
bitemployment__income,Employment
bitfulltime__income,Full Time
bitpulledfrombureau__income,Pulled From
bitselfemployed__income,Self Employed
bituse__income,Use
dtmend__income,End Date
fltgrossmonthly__income,Gross Monthly
strwagetype__income,Wage Type
flt401kloanpayment__income,401k Loan Payment
fltchildsupport__income,Child Support
fltgarnish__income,Garnish
strfrequency__income,Frequency
bitrequirepoi__income,POI
strweekly__income,Weekly
streveryother__income,Every Other
strmonthly__income,Monthly
strpaydays__income,Pay Days
analyticsmatchkey__tu,analyticsMatchkey
zip_code__tu,5 digit zip code
at01s__tu,Number of trades
at02s__tu,Number of open trades
at03s__tu,Number of open trades currently satisfactory
at06s__tu,Number of trades opened in past 6 months
at09s__tu,Number of trades opened in past 24 months
at12s__tu,Number of open trades verified in past 12 months
at20s__tu,Months since oldest trade opened
at21s__tu,Months since most recent trade opened
at24s__tu,Number of currently open and satisfactory trades 6 months or older
at25s__tu,Number of currently open and satisfactory trades 12 months or older
at27s__tu,Number of currently open and satisfactory trades 24 months or older
at28a__tu,Total credit line of open trades verified in past 12 months
at28b__tu,Total credit line of open trades verified in past 12 months (excluding mortgage and home equity)
at29s__tu,Number of open trades with balance > $0 verified in past 12 months
at30s__tu,Percentage of open trades > 50% of credit line verified in past 12 months
at31s__tu,Percentage of open trades > 75% of credit line verified in past 12 months
at32s__tu,Maximum balance owed on open trades verified in past 12 months
at33a__tu,Total balance of open trades verified in past 12 months
at33b__tu,Total balance of open trades verified in past 12 months (excluding mortgage and home equity)
at34a__tu,Utilization for open trades verified in past 12 months
at34b__tu,Utilization for open trades verified in past 12 months (excluding mortgage and home equity)
at35a__tu,Average balance of open trades verified in past 12 months
at35b__tu,Average balance of open trades verified in past 12 months (excluding mortgage and home equity)
at36s__tu,Months since most recent delinquency
at57s__tu,Total past due amount of open trades verified in past 12 months
at101s__tu,Total balance of all trades verified in past 12 months
at101b__tu,Total balance of all trades verified in past 12 months (excluding mortgage and home equity)
at103s__tu,Percentage of satisfactory open trades to all open trades verified in 24 months
at104s__tu,Percentage of all trades opened in past 24 months to all trades
au01s__tu,Number of auto trades
au02s__tu,Number of open auto trades
au03s__tu,Number of currently satisfactory open auto trades
au06s__tu,Number of auto trades opened in past 6 months
au09s__tu,Number of auto trades opened in past 24 months
au12s__tu,Number of open auto trades verified in past 12 months
au20s__tu,Months since oldest auto trade opened
au21s__tu,Months since most recent auto trade opened
au24s__tu,Number of currently open and satisfactory auto trades 6 months or older
au25s__tu,Number of currently open and satisfactory auto trades 12 months or older
au27s__tu,Number of currently open and satisfactory auto trades 24 months or older
au28s__tu,Total credit line of open auto trades verified in past 12 months
au29s__tu,Number of open auto trades with balance > $0 verified in past 12 months
au30s__tu,Percentage of open auto trades > 50% of credit line verified in past 12 months
au31s__tu,Percentage of open auto trades > 75% of credit line verified in past 12 months
au32s__tu,Maximum balance owed on open auto trades verified in past 12 months
au33s__tu,Total balance of open auto trades verified in past 12 months
au34s__tu,Utilization for open auto trades verified in past 12 months
au35s__tu,Average balance of open auto trades verified in past 12 months
au36s__tu,Months since most recent auto delinquency
au51a__tu,Terms in months of most recent auto trade
au57s__tu,Total past due amount of open auto trades verified in past 12 months
au101s__tu,Total balance of all auto trades verified in past 12 months
bc01s__tu,Number of credit card trades
bc02s__tu,Number of open credit card trades
bc03s__tu,Number of currently satisfactory open credit card trades
bc06s__tu,Number of credit card trades opened in past 6 months
bc09s__tu,Number of credit card trades opened in past 24 months
bc12s__tu,Number of open credit card trades verified in past 12 months
bc20s__tu,Months since oldest credit card trade opened
bc21s__tu,Months since most recent credit card trade opened
bc24s__tu,Number of currently open and satisfactory credit card trades 6 months or older
bc25s__tu,Number of currently open and satisfactory credit card trades 12 months or older
bc27s__tu,Number of currently open and satisfactory credit card trades 24 months or older
bc28s__tu,Total credit line of open credit card trades verified in past 12 months
bc29s__tu,Number of open credit card trades with balance > $0 verified in past 12 months
bc30s__tu,Percentage of open credit card trades > 50% of credit line verified in past 12 months
bc31s__tu,Percentage of open credit card trades > 75% of credit line verified in past 12 months
bc32s__tu,Maximum balance owed on open credit card trades verified in past 12 months
bc33s__tu,Total balance of open credit card trades verified in past 12 months
bc34s__tu,Utilization for open credit card trades verified in past 12 months
bc35s__tu,Average balance of open credit card trades verified in past 12 months
bc36s__tu,Months since most recent credit card delinquency
bc57s__tu,Total past due amount of open credit card trades verified in past 12 months
bc97a__tu,Total open to buy of open credit cards verified in past 3 months
bc97b__tu,Total open to buy of closed credit cards verified in past 3 months
bc98a__tu,Total open to buy of open credit cards verified in past 12 months
bc101s__tu,Total balance of all credit card trades verified in past 12 months
bc102s__tu,Average credit line of open credit card trades verified in past 12 months
bc103s__tu,Average balance of all credit card trades with balance > $0 verified in past 12 months
bc104s__tu,Average of the open credit card trade utilizations verified in past 12 months
bc106s__tu,Number of credit card trades 30 or more days past due in past 24 months
bc107s__tu,Number of 30 and 60 days past due ratings on credit card trades
bc108s__tu,Number of 90 or more days past due ratings on credit card trades
bc109s__tu,Number of credit card trades with past due amount > $100 verified in past 12 months
bc110s__tu,Total past due amount of all credit card trades verified in past 12 months
bi01s__tu,Number of bank installment trades
bi02s__tu,Number of open bank installment trades
bi03s__tu,Number of currently satisfactory open bank installment trades
bi06s__tu,Number of bank installment trades opened in past 6 months
bi09s__tu,Number of bank installment trades opened in past 24 months
bi12s__tu,Number of open bank installment trades verified in past 12 months
bi20s__tu,Months since oldest bank installment trade opened
bi21s__tu,Months since most recent bank installment trade opened
bi24s__tu,Number of currently open and satisfactory bank installment trades 6 months or older
bi25s__tu,Number of currently open and satisfactory bank installment trades 12 months or older
bi27s__tu,Number of currently open and satisfactory bank installment trades 24 months or older
bi28s__tu,Total credit line of open bank installment trades verified in past 12 months
bi29s__tu,Number of open bank installment trades with balance > $0 verified in past 12 months
bi30s__tu,Percentage of open bank installment trades > 50% of credit line verified in past 12 months
bi31s__tu,Percentage of open bank installment trades > 75% of credit line verified in past 12 months
bi32s__tu,Maximum balance owed on open bank installment trades verified in past 12 months
bi33s__tu,Total balance of open bank installment trades verified in past 12 months
bi34s__tu,Utilization for open bank installment trades verified in past 12 months
bi35s__tu,Average balance of open bank installment trades verified in past 12 months
bi36s__tu,Months since most recent bank installment delinquency
bi57s__tu,Total past due amount of open bank installment trades verified in past 12 months
bi101s__tu,Total balance of all bank installment trades verified in past 12 months
br01s__tu,Number of bank revolving trades
br02s__tu,Number of open bank revolving trades
br03s__tu,Number of currently satisfactory open bank revolving trades
br06s__tu,Number of bank revolving trades opened in past 6 months
br09s__tu,Number of bank revolving trades opened in past 24 months
br12s__tu,Number of open bank revolving trades verified in past 12 months
br20s__tu,Months since oldest bank revolving trade opened
br21s__tu,Months since most recent bank revolving trade opened
br24s__tu,Number of currently open and satisfactory bank revolving trades 6 months or older
br25s__tu,Number of currently open and satisfactory bank revolving trades 12 months or older
br27s__tu,Number of currently open and satisfactory bank revolving trades 24 months or older
br28s__tu,Total credit line of open bank revolving trades verified in past 12 months
br29s__tu,Number of open bank revolving trades with balance > $0 verified in past 12 months
br30s__tu,Percentage of open bank revolving trades > 50% of credit line verified in past 12 months
br31s__tu,Percentage of open bank revolving trades > 75% of credit line verified in past 12 months
br32s__tu,Maximum balance owed on open bank revolving trades verified in past 12 months
br33s__tu,Total balance of open bank revolving trades verified in past 12 months
br34s__tu,Utilization for open bank revolving trades verified in past 12 months
br35s__tu,Average balance of open bank revolving trades verified in past 12 months
br36s__tu,Months since most recent bank revolving delinquency
br57s__tu,Total past due amount of open bank revolving trades verified in past 12 months
br101s__tu,Total balance of all bank revolving trades verified in past 12 months
br109s__tu,Number of bank revolving trades with past due amount > $50 verified in past 12 months
co01s__tu,Number of charged-off trades
co02s__tu,Number of charge-off trades in past 12 months
co03s__tu,Number of charge-off trades in past 24 months
co04s__tu,Months since most recent charged-off trade reported
co05s__tu,Total balance of trades that charged-off
co06s__tu,Total balance of trades that charged-off in the past 12 months
co07s__tu,Total balance of trades that charged-off in the past 24 months
fc01s__tu,Number of foreclosure trades
fc02s__tu,Number of foreclosure trades in past 12 months
fc03s__tu,Number of foreclosure trades in past 24 months
fc04s__tu,Months since most recent foreclosure trade reported
fc05s__tu,Total balance of foreclosure trades
fc06s__tu,Total balance of foreclosure trades in past 12 months
fc07s__tu,Total balance of foreclosure trades in past 24 months
fi01s__tu,Number of finance installment trades
fi02s__tu,Number of open finance installment trades
fi03s__tu,Number of currently satisfactory open finance installment trades
fi06s__tu,Number of finance installment trades opened in past 6 months
fi09s__tu,Number of finance installment trades opened in past 24 months
fi12s__tu,Number of open finance installment trades verified in past 12 months
fi20s__tu,Months since oldest finance installment trade opened
fi21s__tu,Months since most recent finance installment trade opened
fi24s__tu,Number of currently open and satisfactory finance installment trades 6 months or older
fi25s__tu,Number of currently open and satisfactory finance installment trades 12 months or older
fi27s__tu,Number of currently open and satisfactory finance installment trades 24 months or older
fi28s__tu,Total credit line of open finance installment trades verified in past 12 months
fi29s__tu,Number of open finance installment trades with balance > $0 verified in past 12 months
fi30s__tu,Percentage of open finance installment trades > 50% of credit line verified in past 12 months
fi31s__tu,Percentage of open finance installment trades > 75% of credit line verified in past 12 months
fi32s__tu,Maximum balance owed on open finance installment trades verified in past 12 months
fi33s__tu,Total balance of open finance installment trades verified in past 12 months
fi34s__tu,Utilization for open finance installment trades verified in past 12 months
fi35s__tu,Average balance of open finance installment trades verified in past 12 months
fi36s__tu,Months since most recent finance installment delinquency
fi57s__tu,Total past due amount of open finance installment trades verified in past 12 months
fi101s__tu,Total balance of all finance installment trades verified in past 12 months
fr01s__tu,Number of finance revolving trades
fr02s__tu,Number of open finance revolving trades
fr03s__tu,Number of currently satisfactory open finance revolving trades
fr06s__tu,Number of finance revolving trades opened in past 6 months
fr09s__tu,Number of finance revolving trades opened in past 24 months
fr12s__tu,Number of open finance revolving trades verified in past 12 months
fr20s__tu,Months since oldest finance revolving trade opened
fr21s__tu,Months since most recent finance revolving trade opened
fr24s__tu,Number of currently open and satisfactory finance revolving trades 6 months or older
fr25s__tu,Number of currently open and satisfactory finance revolving trades 12 months or older
fr27s__tu,Number of currently open and satisfactory finance revolving trades 24 months or older
fr28s__tu,Total credit line of open finance revolving trades verified in past 12 months
fr29s__tu,Number of open finance revolving trades with balance > $0 verified in past 12 months
fr30s__tu,Percentage of open finance revolving trades > 50% of credit line verified in past 12 months
fr31s__tu,Percentage of open finance revolving trades > 75% of credit line verified in past 12 months
fr32s__tu,Maximum balance owed on open finance revolving trades verified in past 12 months
fr33s__tu,Total balance of open finance revolving trades verified in past 12 months
fr34s__tu,Utilization for open finance revolving trades verified in past 12 months
fr35s__tu,Average balance of open finance revolving trades verified in past 12 months
fr36s__tu,Months since most recent finance revolving delinquency
fr57s__tu,Total past due amount of open finance revolving trades verified in past 12 months
fr101s__tu,Total balance of all finance revolving trades verified in past 12 months
g001s__tu,Number of 30 days past due ratings in past 12 months
g001b__tu,Number of 30 or more days past due ratings in past 12 months
g001c__tu,Number of real estate trades with 30 or more days past due ratings in past 12 months
g002s__tu,Number of 60 days past due ratings in past 12 months
g002b__tu,Number of 60 or more days past due ratings in past 12 months
g002c__tu,Number of real estate trades with 60 or more days past due ratings in past 12 months
g003s__tu,Number of 90 or more days past due ratings in past 12 months
g003c__tu,Number of real estate trades with 90 or more days past due ratings in past 12 months
g020s__tu,Number of trades with maximum delinquency of 30 days past due in past 24 months
g041s__tu,Number of trades 30 or more days past due ever
g041c__tu,Number of real estate trades 30 or more days past due ever
g042s__tu,Number of trades 60 or more days past due ever
g042c__tu,Number of real estate trades 60 or more days past due ever
g043s__tu,Number of trades 90 or more days past due ever
g043c__tu,Number of real estate trades 90 or more days past due ever
g051s__tu,Percentage of trades ever delinquent
g057s__tu,Number of trades 30 or more days past due in past 3 months
g058s__tu,Number of trades 30 or more days past due in past 6 months
g059s__tu,Number of trades 30 or more days past due in past 12 months
g061s__tu,Number of trades 30 or more days past due in past 24 months
g063s__tu,Number of trades 60 or more days past due in past 6 months
g064s__tu,Number of trades 60 or more days past due in past 12 months
g066s__tu,Number of trades 60 or more days past due in past 24 months
g068s__tu,Number of trades 90 or more days past due in past 6 months
g069s__tu,Number of trades 90 or more days past due in past 12 months
g071s__tu,Number of trades 90 or more days past due in past 24 months
g093s__tu,Number of public records
g094s__tu,Number of public record bankruptcies
g095s__tu,Months since most recent public record
g099s__tu,Number of public record bankruptcies in past 24 months
g100s__tu,Number of tradeline bankruptcies
g102s__tu,Months since most recent inquiry
g105s__tu,Months since most recent mortgage inquiry
g199s__tu,Total monthly obligation for contractually liable accounts verified in past 12 months
g200s__tu,Percentage of contractually liable debt
g201a__tu,Total open to buy of open trades verified in past 3 months (excluding installments and mortgages)
g201b__tu,Total open to buy of closed trades verified in past 3 months (excluding installments and mortgages)
g202a__tu,Total open to buy of open trades verified in past 12 months (excluding installments and mortgages)
g202b__tu,Total open to buy of closed trades verified in past 12 months (excluding installments and mortgages)
g205s__tu,Total monthly obligation for individual account verified in past 12 months
g206s__tu,Total monthly obligation for joint account verified in past 12 months
g207s__tu,Total monthly obligation for all accounts
g208s__tu,Percentage of individual debt
g209s__tu,Months since most recent charged-off trade opened
g210s__tu,Total past due amount of charged-off trades verified in past 12 months
g211s__tu,Highest balance of charged-off trades
g212s__tu,Number of charged-off trades opened in past 24 months
g213a__tu,Highest balance of third party collections verified in 24 months
g213b__tu,Highest balance of non-medical third party collections verified in 24 months
g215a__tu,Number of third party collections with balance > $0
g215b__tu,Number of non-medical third party collections with balance > $0
g216s__tu,Number of trades with a delinquency of 90 or more days past due since opening a new trade (within past 24 months)
g217s__tu,Total past due amount of all trades verified in past 12 months
g218a__tu,Number of trades verified in the past 12 months that are currently 30 days past due
g218b__tu,Number of trades verified in the past 12 months that are currently 30 days or more past due
g218c__tu,Number of credit card trades verified in the past 12 months that are currently 30 days past due
g218d__tu,Number of credit card trades verified in the past 12 months that are currently 30 days or more past due
g219a__tu,Number of trades verified in the past 12 months that are currently 60 days past due
g219b__tu,Number of trades verified in the past 12 months that are currently 60 days or more past due
g219c__tu,Number of credit card trades verified in the past 12 months that are currently 60 days past due
g219d__tu,Number of credit card trades verified in the past 12 months that are currently 60 days or more past due
g220a__tu,Number of trades verified in the past 12 months that are currently 90 days past due
g220b__tu,Number of trades verified in the past 12 months that are currently 90 days or more past due
g220c__tu,Number of credit card trades verified in the past 12 months that are currently 90 days past due
g220d__tu,Number of credit card trades verified in the past 12 months that are currently 90 days or more past due
g221a__tu,Number of trades verified in the past 12 months that are currently 120 days past due
g221b__tu,Number of trades verified in the past 12 months that are currently 120 days or more past due
g221c__tu,Number of credit card trades verified in the past 12 months that are currently 120 days past due
g221d__tu,Number of credit card trades verified in the past 12 months that are currently 120 days or more past due
g222s__tu,"Number of trades prior 30 days past due, now current, verified in past 12 months"
g223s__tu,"Number of trades prior 60 days past due, now current, verified in past 12 months"
g224a__tu,Number of 90 days past due or worse items ever (excluding medical collection items)
g224b__tu,Number of 90 days past due or worse items in the past 12 months (excluding medical collection items)
g224c__tu,Number of 90 days past due or worse items in the past 24 months (excluding medical collection items)
g225s__tu,Total past due amount of currently 90 or more days past due trades
g226s__tu,Number of 60 or more days past due trades (current MOP only) with balance > $0 opened in past 12 months
g227s__tu,Number of 90 or more days past due trades (current MOP only) with balance > $0 opened in past 12 months
g228s__tu,Number of 90 or more days past due trades (current MOP only) with balance > $0 opened in past 24 months
g230s__tu,Number of 60 or more days past due trades (current MOP only) with balance > $0 opened in past 24 months
g232s__tu,Number of inquiries (includes duplicates)
g234s__tu,Number of days with inquiry occurring in past 30 days
g235s__tu,Number of trades opened since most recent delinquency (delinquency search limited to 24 months)
g237s__tu,Number of credit inquiries in past 6 months
g238s__tu,Number of credit inquiries in past 12 months
g240s__tu,Number of mortgage inquiries
g241s__tu,Number of mortgage inquiries in past 6 months
g250a__tu,Number of 30 days past due or worse items ever (excluding medical collection items)
g250b__tu,Number of 30 days past due or worse items in the past 12 months (excluding medical collection items)
g250c__tu,Number of 30 days past due or worse items in the past 24 months (excluding medical collection items)
g251a__tu,Number of 60 days past due or worse items ever (excluding medical collection items)
g251b__tu,Number of 60 days past due or worse items in the past 12 months (excluding medical collection items)
g251c__tu,Number of 60 days past due or worse items in the past 24 months (excluding medical collection items)
g300s__tu,Worst rating on credit card trades in past 12 months
g301s__tu,Worst rating on credit card trades
g302s__tu,Worst rating on revolving trades in past 12 months
g303s__tu,Worst rating on revolving trades
g304s__tu,Worst rating on installment trades in past 12 months
g305s__tu,Worst rating on installment trades
g306s__tu,Worst rating on auto trades in past 12 months
g307s__tu,Worst rating on auto trades
g308s__tu,Worst rating on mortgage trades in past 12 months
g309s__tu,Worst rating on mortgage trades
g310s__tu,Worst rating on all trades in past 12 months
g311s__tu,Worst rating on all trades
g312s__tu,Worst rating on home equity line of credit trades in past 12 months
g313s__tu,Worst rating on home equity line of credit trades
g314s__tu,Worst rating on home equity loan trades in past 12 months
g315s__tu,Worst rating on home equity loan trades
g960s__tu,Number of deduped inquiries
g980s__tu,Number of deduped inquiries in past 6 months
g990s__tu,Number of deduped inquiries in past 12 months
hi01s__tu,Number of home equity loan trades
hi02s__tu,Number of open home equity loan trades
hi03s__tu,Number of currently satisfactory open home equity loan trades
hi06s__tu,Number of home equity loan trades opened in past 6 months
hi09s__tu,Number of home equity loan trades opened in past 24 months
hi12s__tu,Number of open home equity loan trades verified in past 12 months
hi20s__tu,Months since oldest home equity loan trade opened
hi21s__tu,Months since most recent home equity loan trade opened
hi24s__tu,Number of currently open and satisfactory home equity loan trades 6 months or older
hi25s__tu,Number of currently open and satisfactory home equity loan trades 12 months or older
hi27s__tu,Number of currently open and satisfactory home equity loan trades 24 months or older
hi28s__tu,Total credit line of open home equity loan trades verified in past 12 months
hi29s__tu,Number of open home equity loan trades with balance > $0 verified in past 12 months
hi30s__tu,Percentage of open home equity loan trades > 50% of credit line verified in past 12 months
hi31s__tu,Percentage of open home equity loan trades > 75% of credit line verified in past 12 months
hi32s__tu,Maximum balance owed on open home equity loan trades verified in past 12 months
hi33s__tu,Total balance of open home equity loan trades verified in past 12 months
hi34s__tu,Utilization for open home equity loan trades verified in past 12 months
hi35s__tu,Average balance of open home equity loan trades verified in past 12 months
hi36s__tu,Months since most recent home equity loan delinquency
hi57s__tu,Total past due amount of open hoem equity loan trades verified in past 12 months
hi101s__tu,Total balance of all home equity trades verified in past 12 months
hr01s__tu,Number of home equity line of credit trades
hr02s__tu,Number of open home equity line of credit trades
hr03s__tu,Number of currently satisfactory open home equity line of credit trades
hr06s__tu,Number of home equity line of credit trades opened in past 6 months
hr09s__tu,Number of home equity line of credit trades opened in past 24 months
hr12s__tu,Number of open home equity line of credit trades verified in past 12 months
hr20s__tu,Months since oldest home equity line of credit trade opened
hr21s__tu,Months since most recent home equity line of credit trade opened
hr24s__tu,Number of currently open and satisfactory home equity line of credit trades 6 months or older
hr25s__tu,Number of currently open and satisfactory home equity line of credit trades 12 months or older
hr27s__tu,Number of currently open and satisfactory home equity line of credit trades 24 months or older
hr28s__tu,Total credit line of open home equity line of credit trades verified in past 12 months
hr29s__tu,Number of open home equity line of credit trades with balance > $0 verified in past 12 months
hr30s__tu,Percentage of open home equity line of credit trades > 50% of credit line verified in past 12 months
hr31s__tu,Percentage of open home equity line of credit trades > 75% of credit line verified in past 12 months
hr32s__tu,Maximum balance owed on open home equity line of credit trades verified in past 12 months
hr33s__tu,Total balance of open home equity line of credit trades verified in past 12 months
hr34s__tu,Utilization for open home equity line of credit trades verified in past 12 months
hr35s__tu,Average balance of open home equity line of credit trades verified in past 12 months
hr36s__tu,Months since most recent home equity line of credit delinquency
hr57s__tu,Total past due amount of open hoem equity line of credit trades verified in past 12 months
hr101s__tu,Total balance of all home equity line of credit trades verified in past 12 months
in01s__tu,Number of installment trades
in02s__tu,Number of open installment trades
in03s__tu,Number of currently satisfactory open installment trades
in06s__tu,Number of installment trades opened in past 6 months
in09s__tu,Number of installment trades opened in past 24 months
in12s__tu,Number of open installment trades verified in past 12 months
in20s__tu,Months since oldest installment trade opened
in21s__tu,Months since most recent installment trade opened
in24s__tu,Number of currently open and satisfactory installment trades 6 months or older
in25s__tu,Number of currently open and satisfactory installment trades 12 months or older
in27s__tu,Number of currently open and satisfactory installment trades 24 months or older
in28s__tu,Total credit line of open installment trades verified in past 12 months
in29s__tu,Number of open installment trades with balance > $0 verified in past 12 months
in30s__tu,Percentage of open installment trades > 50% of credit line verified in past 12 months
in31s__tu,Percentage of open installment trades > 75% of credit line verified in past 12 months
in32s__tu,Maximum balance owed on installment trades verified in past 12 months
in33s__tu,Total balance of open installment trades verified in past 12 months
in34s__tu,Utilization for open installment trades verified in past 12 months
in35s__tu,Average balance of open installment trades verified in past 12 months
in36s__tu,Months since most recent installment delinquency
in57s__tu,Total past due amount of open installment trades verified in past 12 months
in101s__tu,Total balance of all installment trades verified in past 12 months
lm01s__tu,Number of mortgage trades with a loan modification
lm02s__tu,Months since oldest loan modification on a mortgage trade
lm03s__tu,Total balance of mortgage trades with a loan modification
lm04s__tu,Total credit line of mortgage trades with a loan modification
lm05s__tu,Utilization of mortgage trades with a loan modification
lm06s__tu,Number of mortgage trades that are 30 or more days past due with a loan modification
lm07s__tu,Number of mortgage trades that are 60 or more days past due with a loan modification
lm08s__tu,Number of mortgage trades that are 90 or more days past due with a loan modification
lm09s__tu,Months since most recent mortgage trade with a loan modification delinquency
lm10s__tu,Number of trades that are 30 or more days past due since the most recent loan modification on a mortgage trade
lm11s__tu,Number of trades that are 60 or more days past due since the most recent loan modification on a mortgage trade
lm12s__tu,Number of trades that are 90 or more days past due since the most recent loan modification on a mortgage trade
lm13s__tu,Number of mortgage trades with a government loan modification
lm14s__tu,Months since oldest government loan modification on a mortgage trade
lm15s__tu,Total balance of mortgage trades with a government loan modification
lm16s__tu,Total credit line of mortgage trades with a government loan modification
lm17s__tu,Utilization of mortgage trades with a government loan modification
lm18s__tu,Number of mortgage trades that are 30 or more days past due with a government loan modification
lm19s__tu,Number of mortgage trades that are 60 or more days past due with a government loan modification
lm20s__tu,Number of mortgage trades that are 90 or more days past due with a government loan modification
lm21s__tu,Months since most recent mortgage trade with a government loan modification delinquency
lm22s__tu,Number of trades that are 30 or more days past due since the most recent government loan modification on a mortgage trade
lm23s__tu,Number of trades that are 60 or more days past due since the most recent government loan modification on a mortgage trade
lm24s__tu,Number of trades that are 90 or more days past due since the most recent government loan modification on a mortgage trade
lm25s__tu,Number of mortgage trades with a bank-backed loan modification
lm26s__tu,Months since oldest bank-backed loan modification on a mortgage trade
lm27s__tu,Total balance of mortgage trades with a bank-backed loan modification
lm28s__tu,Total credit line of mortgage trades with a bank-backed loan modification
lm29s__tu,Utilization of mortgage trades with a bank-backed loan modification
lm30s__tu,Number of mortgage trades that are 30 or more days past due with a bank-backed loan modification
lm31s__tu,Number of mortgage trades that are 60 or more days past due with a bank-backed loan modification
lm32s__tu,Number of mortgage trades that are 90 or more days past due with a bank-backed loan modification
lm33s__tu,Months since most recent mortgage trade with a bank-backed loan modification delinquency
lm34s__tu,Number of trades that are 30 or more days past due since the most recent bank-backed loan modification on a mortgage trade
lm35s__tu,Number of trades that are 60 or more days past due since the most recent bank-backed loan modification on a mortgage trade
lm36s__tu,Number of trades that are 90 or more days past due since the most recent bank-backed loan modification on a mortgage trade
lm37s__tu,Age of mortgage trade with the oldest loan modification
lm38s__tu,Age of mortgage trade with the oldest government loan modification
lm39s__tu,Age of mortgage trade with the oldest bank-backed loan modification
mt01s__tu,Number of mortgage trades
mt02s__tu,Number of open mortgage trades
mt03s__tu,Number of currently satisfactory open mortgage trades
mt06s__tu,Number of mortgage trades opened in past 6 months
mt09s__tu,Number of mortgage trades opened in past 24 months
mt12s__tu,Number of open mortgage trades verified in past 12 months
mt20s__tu,Months since oldest mortgage trade opened
mt21s__tu,Months since most recent mortgage trade opened
mt24s__tu,Number of currently open and satisfactory mortgage trades 6 months or older
mt25s__tu,Number of currently open and satisfactory mortgage trades 12 months or older
mt27s__tu,Number of currently open and satisfactory mortgage trades 24 months or older
mt28s__tu,Total credit line of open mortgage trades verified in past 12 months
mt29s__tu,Number of open mortgage trades with balance > $0 verified in past 12 months
mt30s__tu,Percentage of open mortgage trades > 50% of credit line verified in past 12 months
mt31s__tu,Percentage of open mortgage trades > 75% of credit line verified in past 12 months
mt32s__tu,Maximum balance owed on mortgage trades verified in past 12 months
mt33s__tu,Total balance of open mortgage trades verified in past 12 months
mt34s__tu,Utilization for open mortgage trades verified in past 12 months
mt34b__tu,Utilization for open mortgage trades older than 12 months and verified in past 12 months at the consumer level
mt34c__tu,Utilization for open mortgage trades older than 12 months and verified in past 12 months at the tradeline level
mt35s__tu,Average balance of open mortgage trades verified in past 12 months
mt36s__tu,Months since most recent mortgage delinquency
mt47s__tu,Number of mortgage trade delinquencies (30 or more days past due) in the past 12 months
mt57s__tu,Total past due amount of open mortgage trades verified in past 12 months
